"コード","銘柄名","市場","現在値","前日比(%)","PER(株価収益率)(倍)","PBR(株価純資産倍率)(倍)","ROE(自己資本利益率)(%)","売上高変化率(%)"
"6351","鶴見製作所","東P","3260","+160.0(+5.16%)","9.66","0.90","10.00","11.40"
"6356","日本ギア工業","東S","491","-5.0(-1.01%)","4.54","0.63","15.00","27.95"
"6361","荏原製作所","東P","2474.0","-78.0(-3.06%)","16.00","2.41","16.20","14.14"
"6363","酉島製作所","東P","2224","-105.0(-4.51%)","9.47","1.13","12.80","25.43"
"6367","ダイキン工業","東P","15700.0","-395.0(-2.45%)","17.66","1.74","10.70","10.39"
"6381","アネスト岩田","東P","1220","-6.0(-0.49%)","9.99","1.10","11.70","10.12"
"6417","ＳＡＮＫＹＯ","東P","2121.5","-61.5(-2.82%)","10.41","1.85","19.30","26.58"
"6418","日本金銭機械","東P","1068","-52.0(-4.64%)","9.49","1.05","11.80","25.15"
"6419","マースグループＨＬＤＧ","東P","3145","-55.0(-1.72%)","6.29","0.79","13.50","79.76"
"6420","フクシマガリレイ","東P","2693","-53.0(-1.93%)","8.75","1.16","14.30","10.30"
"6424","高見沢サイバネティックス","東S","1080","+1.0(+0.09%)","7.25","0.94","14.00","21.81"
"6430","ダイコク電機","東P","2659","-39.0(-1.45%)","4.64","0.97","22.80","69.25"
"6432","竹内製作所","東P","5130","-150.0(-2.84%)","9.35","1.66","19.40","18.81"
"6436","アマノ","東P","3859.0","-140.0(-3.50%)","21.15","2.17","10.60","15.10"
"6457","グローリー","東P","2599.5","-10.0(-0.38%)","4.87","0.64","14.10","45.58"
"6458","新晃工業","東P","1205","-20.0(-1.63%)","13.64","1.46","11.30","15.93"
"6465","ホシザキ","東P","6034.0","+5.0(+0.08%)","23.34","2.36","10.70","19.26"
"6489","前澤工業","東S","1307","-3.0(-0.23%)","6.65","0.84","13.40","12.80"
