"コード","銘柄名","市場","現在値","前日比(%)"
"1848","富士ピー・エス","東S","407","+1.0(+0.25%)"
"184A","学びエイド","東G","492","-7.0(-1.40%)"
"1850","南海辰村建設","東S","306","-2.0(-0.65%)"
"1852","淺沼組","東P","680","+2.0(+0.29%)"
"1853","森組","東S","320","+3.0(+0.95%)"
"1860","戸田建設","東P","922.8","-17.6(-1.87%)"
"1861","熊谷組","東P","3835","+15.0(+0.39%)"
"1866","北野建設","東S","4195","-60.0(-1.41%)"
"1867","植木組","東S","1694","-8.0(-0.47%)"
"1869","名工建設","名M","1349","-3.0(-0.22%)"
"186A","アストロスケールＨＬＤＧ","東G","832","+37.0(+4.65%)"
"1870","矢作建設工業","東P","1257","+11.0(+0.88%)"
"1871","ピーエス・コンストラクション","東P","1436","-109.0(-7.06%)"
"1873","日本ハウスＨＬＤＧ","東P","327","+0.0(+0.00%)"
"1878","大東建託","東P","15625.0","+15.0(+0.10%)"
"1879","新日本建設","東P","1499","+37.0(+2.53%)"
"1882","東亜道路工業","東P","1491","-3.0(-0.20%)"
"1884","日本道路","東P","1859","-3.0(-0.16%)"
"1885","東亜建設工業","東P","1342","-13.0(-0.96%)"
"1887","日本国土開発","東P","483","-1.0(-0.21%)"
"1888","若築建設","東P","3575","-20.0(-0.56%)"
"188A","ＧＸ　インド・トップ１０＋","東ETF","863.0","-13.0(-1.48%)"
"1890","東洋建設","東P","1340","-6.0(-0.45%)"
"1892","徳倉建設","名M","4800","-60.0(-1.23%)"
"1893","五洋建設","東P","655.6","-14.3(-2.13%)"
"1897","金下建設","東S","2851","+46.0(+1.64%)"
"1898","世紀東急工業","東P","1555","-1.0(-0.06%)"
"1899","福田組","東P","5080","+30.0(+0.59%)"
"189A","Ｄ＆Ｍカンパニー","東G","807","-9.0(-1.10%)"
"1904","大成温調","東S","3815","-30.0(-0.78%)"
"1905","テノックス","東S","1156","+2.0(+0.17%)"
"1909","日本ドライケミカル","東S","4265","+45.0(+1.07%)"
"190A","Ｃｈｏｒｄｉａ　Ｔｈｅｒａｐｅ","東G","244","-16.0(-6.15%)"
"1911","住友林業","東P","4557.0","-41.0(-0.89%)"
"1914","日本基礎技術","東S","686","-9.0(-1.29%)"
"1921","巴コーポレーション","東S","1171","+12.0(+1.04%)"
"1925","大和ハウス工業","東P","4936.0","-29.0(-0.58%)"
"1926","ライト工業","東P","2525","-24.0(-0.94%)"
"1928","積水ハウス","東P","3390.0","-39.0(-1.14%)"
"1929","日特建設","東P","1030","-5.0(-0.48%)"
"192A","インテグループ","東G","3730","-70.0(-1.84%)"
"1930","北陸電気工事","東P","1174","+5.0(+0.43%)"
"1934","ユアテック","東P","1581","+18.0(+1.15%)"
"1938","日本リーテック","東P","1482","-16.0(-1.07%)"
"1939","四電工","東P","1313","-7.0(-0.53%)"
"1941","中電工","東P","3130","-25.0(-0.79%)"
"1942","関電工","東P","2518.0","-7.0(-0.28%)"
"1944","きんでん","東P","3160.0","-9.0(-0.28%)"
"1945","東京エネシス","東P","1064","-10.0(-0.93%)"
"1946","トーエネック","東P","963","-19.0(-1.93%)"
"1948","弘電社","東S","1986","-28.0(-1.39%)"
"1949","住友電設","東P","4455","-75.0(-1.66%)"
"194A","ＷＯＬＶＥＳ　ＨＡＮＤ","東G","714","-4.0(-0.56%)"
"1950","日本電設工業","東P","2103","-22.0(-1.04%)"
"1951","エクシオグループ","東P","1734.5","-4.0(-0.23%)"
"1952","新日本空調","東P","1652","-31.0(-1.84%)"
"1959","九電工","東P","4498.0","-23.0(-0.51%)"
"195A","ライスカレー","東G","726","-14.0(-1.89%)"
"1960","サンテック","東S","820","-5.0(-0.61%)"
"1961","三機工業","東P","3335","-20.0(-0.60%)"
"1963","日揮ＨＬＤＧ","東P","1110.0","-14.5(-1.29%)"
"1964","中外炉工業","東P","3700","-25.0(-0.67%)"
"1965","テクノ菱和","東S","3050","-130.0(-4.09%)"
"1966","高田工業所","東S","1375","-45.0(-3.17%)"
"1967","ヤマト","東S","1430","-25.0(-1.72%)"
"1968","太平電業","東P","4720","-100.0(-2.07%)"
